poster,post_count,mean_votes,mean_comments,total_votes,total_comments,posts_with_comments_count,conversations_sparked,is_usver,ever_usver,percent_of_posts_with_comments
pranavpiyush,1,1.0,0.0,1,0,0,0,False,False,0.0
pressat,1,1.0,0.0,1,0,0,0,False,False,0.0
pyjamastartups,8,1.5,0.62,12,5,2,0,False,False,0.25
qawba,1,1.0,0.0,1,0,0,0,False,False,0.0
rahulgchaudhary,2,1.0,0.0,2,0,0,0,False,False,0.0
raj,1,1.0,0.0,1,0,0,0,False,False,0.0
raja,1,2.0,0.0,2,0,0,0,False,False,0.0
raymondlee,3,1.67,0.0,5,0,0,0,False,False,0.0
rbc_nyc,2,1.0,0.0,2,0,0,0,False,False,0.0
realforexsignal,5,1.0,0.8,5,4,1,0,False,False,0.2
recborg,5,3.6,0.4,18,2,1,0,False,False,0.2
recork,1,2.0,2.0,2,2,1,0,False,False,1.0
reece,1,13.0,6.0,13,6,1,1,False,False,1.0
removensftool,1,1.0,0.0,1,0,0,0,False,False,0.0
remyers_,1,5.0,3.0,5,3,1,0,False,False,1.0
restreitinho,2,1.0,0.0,2,0,0,0,False,False,0.0
rikardlinde,4,1.25,0.25,5,1,1,0,False,False,0.25
ro_gupta,3,2.33,1.33,7,4,1,0,False,False,0.33
robertslewis,1,3.0,2.0,3,2,1,0,False,False,1.0
robinAKAroblimo,1,1.0,0.0,1,0,0,0,False,False,0.0
roder,1,8.0,0.0,8,0,0,0,False,False,0.0
ron_miller,68,2.99,0.53,203,36,12,2,False,False,0.18
ronyjacob,1,1.0,0.0,1,0,0,0,False,False,0.0
roryeakin,1,2.0,1.0,2,1,1,0,False,False,1.0
roryreiff,3,10.0,5.67,30,17,1,1,False,False,0.33
rrhoover,14,3.79,2.43,53,34,9,3,False,False,0.64
rrohan189,3,2.33,0.33,7,1,1,0,False,False,0.33
rsiegel,6,1.67,2.0,10,12,4,1,False,False,0.67
rutgervz,1,2.0,0.0,2,0,0,0,False,False,0.0
ryanckulp,12,1.83,0.33,22,4,1,0,False,False,0.08
ryaneshea,5,4.0,4.8,20,24,4,2,False,False,0.8
ryangcamp,1,5.0,2.0,5,2,1,0,False,False,1.0
ryannjean,1,2.0,0.0,2,0,0,0,False,False,0.0
samgrayson3,4,0.75,0.25,3,1,1,0,False,False,0.25
samiq,20,3.0,2.95,60,59,8,4,False,False,0.4
samiur1204,2,0.5,1.0,1,2,2,0,False,False,1.0
samthebrand,1,9.0,3.0,9,3,1,0,False,False,1.0
sararaza501,1,1.0,0.0,1,0,0,0,False,False,0.0
sasyrae,1,1.0,0.0,1,0,0,0,False,False,0.0
sbyrnes,54,1.74,0.37,94,20,8,1,False,False,0.15
